"locID","CNN","xLoc","yLoc","LocationDescription","curbReturnLoc","positionOnReturn","Latitude","Longitude","LastUpdate","InvenID","conditionScore","detectableSurf","vitalFacilities","heavyTraffic","lipTooHigh","probStreetMeetCR","possBasementObstacle","signalPoleInWing","catchBasinFrontOfCR","insideCrosswalk","surfCond","slopeWing","flushToCorner","colorContrast","paintedRed","topClearance","sideClearance","CRTooNarrow","levelLandTop","levelLandBottom","slopeRangeID","crPossible","crExist","Location"
"33014000-E-Right","33014000","5994712.48902","2097902.32518","SAN PABLO AVE: SAN PABLO AVE intersection","E","Right","37.74006856695","-122.46107511775","2020 Nov 10 06:44:16 AM","47084","-2",,,,,,,,,,,,,,,,,,,,,"N04","0","    (37.740068566951635, -122.4610751177511)"
"11496201-N-MB","11496201","5993235.12682","2100291.40636","SAN MARCOS AVE: UNNAMED 031 \ UNNAMED 032 to SAN MARCOS AVE (200 - 366)","N","MB",,,"2020 Nov 10 06:44:16 AM","50761","100","1",,,"0",,"0","0","0","1","1","1",,"1",,,,"1","1","1","2",,"1",
"22919000-NW-Right","22919000","5993675.05605","2097596.50657","SAN LORENZO WAY: SANTA MONICA WAY intersection","NW","Right","37.73933684816","-122.46427014994","2020 Nov 10 06:44:16 AM","15446","-2",,,,,,,,,,,,,,,,,,,,,"N04","0","    (37.73933684815814, -122.46427014994458)"
"22831000-SE-Left","22831000","5994256.9978","2097342.85156","SAN PABLO AVE: SANTA MONICA WAY intersection","SE","Left","37.73870823003","-122.4624742234","2020 Nov 10 06:44:16 AM","14985","0",,,,,,,,,,,,,,,,,,,,,"Y29","0","    (37.73870823003463, -122.46247422340173)"
"33606000-NE-Left","33606000","6000385.07544","2092891.28468","SAN JUAN AVE: UNNAMED 041 intersection","NE","Left","37.72668869861","-122.4409679574","2020 Nov 10 06:44:16 AM","48365","-1",,,,,,,,,,,,,,,,,,,,,"Y24","0","    (37.726688698608534, -122.4409679574026)"
"22974000-E-Right","22974000","5993697.06815","2100366.77826","SAN MARCOS AVE: SANTA RITA AVE intersection","E","Right","37.74681322209","-122.46468348837","2020 Nov 10 06:44:16 AM","15778","-2",,,,,,,,,,,,,,,,,,,,,"N04","0","    (37.74681322208899, -122.46468348837182)"
"11496101-E-MB","11496101","5993254.3584","2100255.0193","SAN MARCOS AVE: UNNAMED #032 to SAN MARCOS AVE (201 - 325)","E","MB",,,"2020 Nov 10 06:44:16 AM","50762","100","1",,,"0",,"0","0","0","1","1","1",,"1",,,,"1","1","1","2",,"1",
"11458101-SE-MB-I","11458101","5998523.859145","2090456.251147","SAN JOSE AVE: GENEVA AVE to NIAGARA AVE (2301 - 2399) -- SOUTH --","SE","MB","37.72009830462","-122.44707546071","2020 Nov 10 06:44:16 AM","52170","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.720098304617736, -122.44707546071217)"
"22831000-S-Left","22831000","5994208.03891","2097336.76791","SAN PABLO AVE: SANTA MONICA WAY intersection","S","Left","37.73870823003","-122.4624742234","2020 Nov 10 06:44:16 AM","14983","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.73870823003463, -122.46247422340173)"
"33606000-SE-Right","33606000","6000365.99871","2092860.67188","SAN JUAN AVE: UNNAMED 041 intersection","SE","Right","37.72668869861","-122.4409679574","2020 Nov 10 06:44:16 AM","48367","-1",,,,,,,,,,,,,,,,,,,,,"Y24","0","    (37.726688698608534, -122.4409679574026)"
"22919000-SW-Left","22919000","5993688.44579","2097578.79893","SAN LORENZO WAY: SANTA MONICA WAY intersection","SW","Left","37.73933684816","-122.46427014994","2020 Nov 10 06:44:16 AM","15448","-2",,,,,,,,,,,,,,,,,,,,,"N04","0","    (37.73933684815814, -122.46427014994458)"
